InseeXls_CodeCommune	InseeXls_NameCommune	InseeXls_Population	Wiki_UrlInCommune	W_Pays	W_Region	W_Departement	W_Arrondissement	W_Canton	W_Intercommunalite	W_CodePostal	W_CodeCommune	W_Population	W_Densite	W_Cordommees	W_Altitude	W_Superficie	W_Name_ru	W_Name_uk	W_Name_en	W_Name_de	W_Name_pl	W_Name_es	W_Name_pt	W_Name_it	W_Name_nl	W_Name_da	W_Name_no	W_Name_sv	W_Name_cs	W_Name_ro	W_Name_bg	W_Name_hu	W_Name_sk	W_Name_sl	W_Name_sh	W_Name_hr	W_Url_ru	W_Url_uk	W_Url_en	W_Url_de	W_Url_pl	W_Url_es	W_Url_pt	W_Url_it	W_Url_nl	W_Url_da	W_Url_no	W_Url_sv	W_Url_cs	W_Url_ro	W_Url_bg	W_Url_hu	W_Url_sk	W_Url_sl	W_Url_sh	W_Url_hr	G_Coordinates_northeast_Lat_1	G_Coordinates_northeast_Lng_1	G_Coordinates_southwest_Lat_2	G_Coordinates_southwest_Lng_2	G_Coordinates_location_Lat_3	G_Coordinates_location_Lng_3	G_PlaceId	How_Get_GooglePlaceID	G_Locality_long_name	G_Locality_short_name	G_Locality_types	G_AdminLevel_1_long_name	G_AdminLevel_1_short_name	G_AdminLevel_1_types	G_AdminLevel_2_long_name	G_AdminLevel_2_short_name	G_AdminLevel_2_types	G_Country_long_name	G_Country_short_name	G_Country_types	G_postal_code_long_name	G_postal_code_short_name	G_postal_code_types	G_FormatAddress	G_Types	W_Cordommees_Convert	G_Name_ru	G_Name_uk	G_Name_en
35218	Le Petit-Fougeray	895	/wiki/Le_Petit-Fougeray	France,	Bretagne,	Ille-et-Vilaine,	Redon,	Bain-de-Bretagne,	Bretagne porte de Loire Communauté,	35320,	35218,	,895 hab. (2014),	100 hab./km2,	47° 55′ 43″ , 1° 36′ 27″ ou,	100 m (min. : 44 m) (max. : 111 m),	8,95 km2,		Ле-Петі-Фужере	Le Petit-Fougeray	Le Petit-Fougeray	Le Petit-Fougeray	Le Petit-Fougeray	Petit-Fougeray	Le Petit-Fougeray	Le Petit-Fougeray			Le Petit-Fougeray		Le Petit-Fougeray		Le Petit-Fougeray	Le Petit-Fougeray					https://uk.wikipedia.org/wiki/Ле-Петі-Фужере	https://en.wikipedia.org/wiki/Le_Petit-Fougeray	https://de.wikipedia.org/wiki/Le_Petit-Fougeray	https://pl.wikipedia.org/wiki/Le_Petit-Fougeray	https://es.wikipedia.org/wiki/Le_Petit-Fougeray	https://pt.wikipedia.org/wiki/Petit-Fougeray	https://it.wikipedia.org/wiki/Le_Petit-Fougeray	https://nl.wikipedia.org/wiki/Le_Petit-Fougeray			https://sv.wikipedia.org/wiki/Le_Petit-Fougeray		https://ro.wikipedia.org/wiki/Le_Petit-Fougeray		https://hu.wikipedia.org/wiki/Le_Petit-Fougeray	https://sk.wikipedia.org/wiki/Le_Petit-Fougeray				None	None	None	None	47.9284247	-1.6084908	ChIJnxHuGl0jD0gR85GpXtFHU7o	SendCoordinates	Le Petit-Fougeray	Le Petit-Fougeray	locality,political	Bretagne	Bretagne	administrative_area_level_1,political	Ille-et-Vilaine	Ille-et-Vilaine	administrative_area_level_2,political	France	FR	country,political	35320	35320	postal_code	1 Impasse du Noyer, 35320 Le Petit-Fougeray, France	street_address	47.9286111111,-1.6075	None	None	None
35219	Pipriac	3 685	/wiki/Pipriac	,Intercommunalité,Communauté de communes du  de Redon,	Bretagne,	Ille-et-Vilaine,	Redon,	Redon,	Communauté de communes du Pays de Redon,	35550,	35219,	aire urbaine,671 845 hab.,	76 hab./km2,	47° 48′ 36″ , 1° 56′ 47″ ou,	50 m (min. : 14 m) (max. : 98 m),	48,65 km2,		Піпріак	Pipriac	Pipriac	Pipriac	Pipriac	Pipriac	Pipriac	Pipriac			Pipriac		Pipriac		Pipriac	Pipriac	Pipriac				https://uk.wikipedia.org/wiki/Піпріак	https://en.wikipedia.org/wiki/Pipriac	https://de.wikipedia.org/wiki/Pipriac	https://pl.wikipedia.org/wiki/Pipriac	https://es.wikipedia.org/wiki/Pipriac	https://pt.wikipedia.org/wiki/Pipriac	https://it.wikipedia.org/wiki/Pipriac	https://nl.wikipedia.org/wiki/Pipriac			https://sv.wikipedia.org/wiki/Pipriac		https://ro.wikipedia.org/wiki/Pipriac		https://hu.wikipedia.org/wiki/Pipriac	https://sk.wikipedia.org/wiki/Pipriac	https://sl.wikipedia.org/wiki/Pipriac			47.8099345	-1.9464592	47.8099331	-1.9464779	47.8099331	-1.9464779	EjExNCBQbGFjZSBkZSBsYSBMaWLDqXJhdGlvbiwgMzU1NTAgUGlwcmlhYywgRnJhbmNl	SendCoordinates	Pipriac	Pipriac	locality,political	Bretagne	Bretagne	administrative_area_level_1,political	Ille-et-Vilaine	Ille-et-Vilaine	administrative_area_level_2,political	France	FR	country,political	35550	35550	postal_code	14 Place de la Libération, 35550 Pipriac, France	street_address	47.81,-1.94638888889	None	None	None
35214	Parcé	648	/wiki/Parcé	France,	Bretagne,	Ille-et-Vilaine,	Fougères-Vitré,	Fougères-1,	Fougères agglomération,	35210,	35214,	,648 hab. (2014),	38 hab./km2,	48° 16′ 23″ , 1° 12′ 01″ ou,	Min. 73 m – Max. 166 m,	16,88 km2,		Парсе (Іль і Вілен)	Parcé	Parcé	Parcé	Parcé	Parcé	Parcé	Parcé			Parcé		Parcé		Parcé	Parcé					https://uk.wikipedia.org/wiki/Парсе_	https://en.wikipedia.org/wiki/Parcé	https://de.wikipedia.org/wiki/Parcé	https://pl.wikipedia.org/wiki/Parcé	https://es.wikipedia.org/wiki/Parcé	https://pt.wikipedia.org/wiki/Parcé	https://it.wikipedia.org/wiki/Parcé	https://nl.wikipedia.org/wiki/Parcé			https://sv.wikipedia.org/wiki/Parcé		https://ro.wikipedia.org/wiki/Parcé		https://hu.wikipedia.org/wiki/Parcé	https://sk.wikipedia.org/wiki/Parcé				48.300021	-1.157782	48.2452891	-1.231514	48.273084	-1.201779	ChIJI5x73GIwCUgRqNM_uc4kdrw	None	Parce	Parce	locality,political	Bretagne	Bretagne	administrative_area_level_1,political	Ille-et-Vilaine	Ille-et-Vilaine	administrative_area_level_2,political	France	FR	country,political	35210	35210	postal_code	35210 Parce, France	locality,political	48.2730555556,-1.20027777778	Парс	Парсе	Parcé
35215	Parigné	1 315	/wiki/Parigné	France,	Bretagne,	Ille-et-Vilaine,	Fougères-Vitré,	Fougères-2,	Fougères agglomération,	35133,	35215,	aire urbaine,43 066 hab. (2010[1]),	63 hab./km2,	48° 25′ 43″ , 1° 11′ 25″ ou,	Min. 109 m – Max. 182 m,	20,72 km2,		Париньє	Parigné	Parigné	Parigné	Parigné	Parigné	Parigné	Parigné			Parigné		Parigné		Parigné	Parigné					https://uk.wikipedia.org/wiki/Париньє	https://en.wikipedia.org/wiki/Parigné	https://de.wikipedia.org/wiki/Parigné	https://pl.wikipedia.org/wiki/Parigné	https://es.wikipedia.org/wiki/Parigné	https://pt.wikipedia.org/wiki/Parigné	https://it.wikipedia.org/wiki/Parigné	https://nl.wikipedia.org/wiki/Parigné			https://sv.wikipedia.org/wiki/Parigné		https://ro.wikipedia.org/wiki/Parigné		https://hu.wikipedia.org/wiki/Parigné	https://sk.wikipedia.org/wiki/Parigné				48.457285	-1.1672339	48.383462	-1.232613	48.427679	-1.191731	ChIJXf2aF9RHCUgRSROqYismdk4	None	Parigné	Parigné	locality,political	Bretagne	Bretagne	administrative_area_level_1,political	Ille-et-Vilaine	Ille-et-Vilaine	administrative_area_level_2,political	France	FR	country,political	35133	35133	postal_code	35133 Parigné, France	locality,political	48.4286111111,-1.19027777778	Паринье	Париньє	Parigné
35216	Parthenay-de-Bretagne	1 580	/wiki/Parthenay-de-Bretagne	France,	Bretagne,	Ille-et-Vilaine,	Rennes,	Melesse,	Rennes Métropole,	35850,	35216,	aire urbaine,395 710 hab.,	329 hab./km2,	48° 11′ 31″ , 1° 49′ 41″ ou,	80 m (min. : 62 m) (max. : 107 m),	4,8 km2,		Партене-де-Бретань	Parthenay-de-Bretagne	Parthenay-de-Bretagne	Parthenay-de-Bretagne	Parthenay-de-Bretagne	Parthenay-de-Bretagne	Parthenay-de-Bretagne	Parthenay-de-Bretagne			Parthenay-de-Bretagne		Parthenay-de-Bretagne		Parthenay-de-Bretagne	Parthenay-de-Bretagne					https://uk.wikipedia.org/wiki/Партене-де-Бретань	https://en.wikipedia.org/wiki/Parthenay-de-Bretagne	https://de.wikipedia.org/wiki/Parthenay-de-Bretagne	https://pl.wikipedia.org/wiki/Parthenay-de-Bretagne	https://es.wikipedia.org/wiki/Parthenay-de-Bretagne	https://pt.wikipedia.org/wiki/Parthenay-de-Bretagne	https://it.wikipedia.org/wiki/Parthenay-de-Bretagne	https://nl.wikipedia.org/wiki/Parthenay-de-Bretagne			https://sv.wikipedia.org/wiki/Parthenay-de-Bretagne		https://ro.wikipedia.org/wiki/Parthenay-de-Bretagne		https://hu.wikipedia.org/wiki/Parthenay-de-Bretagne	https://sk.wikipedia.org/wiki/Parthenay-de-Bretagne				48.20287	-1.813261	48.1734501	-1.8449619	48.192171	-1.8302	ChIJgdNX5KjlDkgRgJfFDJKsEs8	None	Parthenay-de-Bretagne	Parthenay-de-Bretagne	locality,political	Bretagne	Bretagne	administrative_area_level_1,political	Ille-et-Vilaine	Ille-et-Vilaine	administrative_area_level_2,political	France	FR	country,political	35850	35850	postal_code	35850 Parthenay-de-Bretagne, France	locality,political	48.1919444444,-1.82805555556	Партене-де-Бретань	Партене-де-Бретань	Parthenay-de-Bretagne
35217	Le Pertre	1 408	/wiki/Le_Pertre	France,	Bretagne,	Ille-et-Vilaine,	Fougères-Vitré,	La Guerche-de-Bretagne,	Vitré Communauté,	35370,	35217,	,1 408 hab. (2014),	32 hab./km2,	48° 02′ 05″ , 1° 02′ 14″ ou,	Min. 67 m – Max. 184 m,	43,63 km2,		Ле-Пертр	Le Pertre	Le Pertre	Le Pertre	Le Pertre	Pertre	Le Pertre	Le Pertre			Le Pertre		Le Pertre		Le Pertre	Le Pertre					https://uk.wikipedia.org/wiki/Ле-Пертр	https://en.wikipedia.org/wiki/Le_Pertre	https://de.wikipedia.org/wiki/Le_Pertre	https://pl.wikipedia.org/wiki/Le_Pertre	https://es.wikipedia.org/wiki/Le_Pertre	https://pt.wikipedia.org/wiki/Pertre	https://it.wikipedia.org/wiki/Le_Pertre	https://nl.wikipedia.org/wiki/Le_Pertre			https://sv.wikipedia.org/wiki/Le_Pertre		https://ro.wikipedia.org/wiki/Le_Pertre		https://hu.wikipedia.org/wiki/Le_Pertre	https://sk.wikipedia.org/wiki/Le_Pertre				48.0347865	-1.0371656	48.0347112	-1.037424	48.0347489	-1.0372948	ChIJG1UhFk3eCEgR9Pth7TfCUsE	SendCoordinates	Le Pertre	Le Pertre	locality,political	Bretagne	Bretagne	administrative_area_level_1,political	Ille-et-Vilaine	Ille-et-Vilaine	administrative_area_level_2,political	France	FR	country,political	35370	35370	postal_code	2 Ruelle du Prieuré, 35370 Le Pertre, France	premise	48.0347222222,-1.03722222222	None	None	None
35210	Pacé	11 288	/wiki/Pacé_(Ille-et-Vilaine)	France,	Bretagne,	Ille-et-Vilaine,	Rennes,	Rennes-6,	Rennes Métropole,	35740,	35210,	aire urbaine,395 710 hab.,	322 hab./km2,	48° 08′ 52″ , 1° 46′ 26″ ou,	Min. 27 m – Max. 91 m,	35,03 km2,		Пасе (Іль і Вілен)	Pacé, Ille-et-Vilaine	Pacé (Ille-et-Vilaine)	Pacé (Ille-et-Vilaine)	Pacé (Ille y Vilaine)	Pacé (Ille-et-Vilaine)	Pacé (Ille-et-Vilaine)	Pacé (Ille-et-Vilaine)			Pacé, Ille-et-Vilaine		Pacé, Ille-et-Vilaine		Pacé (Ille-et-Vilaine)	Pacé (Ille-et-Vilaine)					https://uk.wikipedia.org/wiki/Пасе_	https://en.wikipedia.org/wiki/Pacé,_Ille-et-Vilaine	https://de.wikipedia.org/wiki/Pacé_	https://pl.wikipedia.org/wiki/Pacé_	https://es.wikipedia.org/wiki/Pacé_	https://pt.wikipedia.org/wiki/Pacé_	https://it.wikipedia.org/wiki/Pacé_	https://nl.wikipedia.org/wiki/Pacé_			https://sv.wikipedia.org/wiki/Pacé,_Ille-et-Vilaine		https://ro.wikipedia.org/wiki/Pacé,_Ille-et-Vilaine		https://hu.wikipedia.org/wiki/Pacé_	https://sk.wikipedia.org/wiki/Pacé_				48.1872733	-1.7231897	48.1193952	-1.8260551	48.1560694	-1.7748596	ChIJR1rp1bHmDkgRFMNpje8drVM	None	Pacé	Pacé	locality,political	Bretagne	Bretagne	administrative_area_level_1,political	Ille-et-Vilaine	Ille-et-Vilaine	administrative_area_level_2,political	France	FR	country,political	35740	35740	postal_code	35740 Pacé, France	postal_code	48.1477777778,-1.77388888889	None	None	None
35211	Paimpont	1 656	/wiki/Paimpont	France,	Bretagne,	Ille-et-Vilaine,	Rennes,	Montfort-sur-Meu,	Communauté de communes de Brocéliande,	35380,	35211,	aire urbaine,700 675 hab. (2013),	15 hab./km2,	48° 01′ 08″ , 2° 10′ 11″ ou,	160 m (min. : 62 m) (max. : 258 m),	110,28 km2,		Пемпон	Paimpont	Paimpont	Paimpont	Paimpont	Paimpont	Paimpont	Paimpont			Paimpont		Paimpont		Paimpont	Paimpont					https://uk.wikipedia.org/wiki/Пемпон	https://en.wikipedia.org/wiki/Paimpont	https://de.wikipedia.org/wiki/Paimpont	https://pl.wikipedia.org/wiki/Paimpont	https://es.wikipedia.org/wiki/Paimpont	https://pt.wikipedia.org/wiki/Paimpont	https://it.wikipedia.org/wiki/Paimpont	https://nl.wikipedia.org/wiki/Paimpont			https://sv.wikipedia.org/wiki/Paimpont		https://ro.wikipedia.org/wiki/Paimpont		https://hu.wikipedia.org/wiki/Paimpont	https://sk.wikipedia.org/wiki/Paimpont				48.08571	-2.0696729	47.979371	-2.289611	48.019561	-2.174058	ChIJjXNnhxCtD0gR0KzkNs2lDAQ	None	Paimpont	Paimpont	locality,political	Bretagne	Bretagne	administrative_area_level_1,political	Ille-et-Vilaine	Ille-et-Vilaine	administrative_area_level_2,political	France	FR	country,political	35380	35380	postal_code	35380 Paimpont, France	locality,political	48.0188888889,-2.16972222222	Пемпон	Пемпон	Paimpont
35212	Pancé	1 148	/wiki/Pancé	France,	Bretagne,	Ille-et-Vilaine,	Redon,	Bain-de-Bretagne,	Bretagne porte de Loire Communauté,	35320,	35212,	,1 148 hab. (2014),	59 hab./km2,	47° 52′ 56″ , 1° 39′ 25″ ou,	90 m (min. : 17 m) (max. : 105 m),	19,33 km2,		Пансе (Іль і Вілен)	Pancé	Pancé	Pancé	Pancé	Pancé	Pancé	Pancé			Pancé		Pancé		Pancé	Pancé					https://uk.wikipedia.org/wiki/Пансе_	https://en.wikipedia.org/wiki/Pancé	https://de.wikipedia.org/wiki/Pancé	https://pl.wikipedia.org/wiki/Pancé	https://es.wikipedia.org/wiki/Pancé	https://pt.wikipedia.org/wiki/Pancé	https://it.wikipedia.org/wiki/Pancé	https://nl.wikipedia.org/wiki/Pancé			https://sv.wikipedia.org/wiki/Pancé		https://ro.wikipedia.org/wiki/Pancé		https://hu.wikipedia.org/wiki/Pancé	https://sk.wikipedia.org/wiki/Pancé				47.919614	-1.612624	47.8583029	-1.673355	47.880305	-1.658383	ChIJv1h-uRI9D0gRqHutUVhS9jc	None	Pancé	Pancé	locality,political	Bretagne	Bretagne	administrative_area_level_1,political	Ille-et-Vilaine	Ille-et-Vilaine	administrative_area_level_2,political	France	FR	country,political	35320	35320	postal_code	35320 Pancé, France	locality,political	47.8822222222,-1.65694444444	Пансе	Пансе	Pancé
35058	La Chapelle-Chaussée	1 253	/wiki/La_Chapelle-Chaussée	France,	Bretagne,	Ille-et-Vilaine,	Rennes,	Montauban-de-Bretagne,	Rennes Métropole,	35630,	35058,	aire urbaine,654 478 hab.,	85 hab./km2,	48° 16′ 15″ , 1° 51′ 12″ ou,	Min. 84 m – Max. 148 m,	14,76 km2,		Ла-Шапель-Шоссе	La Chapelle-Chaussée	La Chapelle-Chaussée	La Chapelle-Chaussée	La Chapelle-Chaussée	Chapelle-Chaussée	La Chapelle-Chaussée	La Chapelle-Chaussée			La Chapelle-Chaussée		La Chapelle-Chaussée		La Chapelle-Chaussée	La Chapelle-Chaussée					https://uk.wikipedia.org/wiki/Ла-Шапель-Шоссе	https://en.wikipedia.org/wiki/La_Chapelle-Chaussée	https://de.wikipedia.org/wiki/La_Chapelle-Chaussée	https://pl.wikipedia.org/wiki/La_Chapelle-Chaussée	https://es.wikipedia.org/wiki/La_Chapelle-Chaussée	https://pt.wikipedia.org/wiki/Chapelle-Chaussée	https://it.wikipedia.org/wiki/La_Chapelle-Chaussée	https://nl.wikipedia.org/wiki/La_Chapelle-Chaussée			https://sv.wikipedia.org/wiki/La_Chapelle-Chaussée		https://ro.wikipedia.org/wiki/La_Chapelle-Chaussée		https://hu.wikipedia.org/wiki/La_Chapelle-Chaussée	https://sk.wikipedia.org/wiki/La_Chapelle-Chaussée				48.270846	-1.853393	48.2706539	-1.8537584	48.2707584	-1.8535658	ChIJZYPoOUnuDkgRC50K0uqFYFQ	SendCoordinates	La Chapelle-Chaussée	La Chapelle-Chaussée	locality,political	Bretagne	Bretagne	administrative_area_level_1,political	Ille-et-Vilaine	Ille-et-Vilaine	administrative_area_level_2,political	France	FR	country,political	35630	35630	postal_code	D27, 35630 La Chapelle-Chaussée, France	route	48.2708333333,-1.85333333333	None	None	None
