InseeXls_CodeCommune	InseeXls_NameCommune	InseeXls_Population	Wiki_UrlInCommune	W_Pays	W_Region	W_Departement	W_Arrondissement	W_Canton	W_Intercommunalite	W_CodePostal	W_CodeCommune	W_Population	W_Densite	W_Cordommees	W_Altitude	W_Superficie	W_Name_ru	W_Name_uk	W_Name_en	W_Name_de	W_Name_pl	W_Name_es	W_Name_pt	W_Name_it	W_Name_nl	W_Name_da	W_Name_no	W_Name_sv	W_Name_cs	W_Name_ro	W_Name_bg	W_Name_hu	W_Name_sk	W_Name_sl	W_Name_sh	W_Name_hr	W_Url_ru	W_Url_uk	W_Url_en	W_Url_de	W_Url_pl	W_Url_es	W_Url_pt	W_Url_it	W_Url_nl	W_Url_da	W_Url_no	W_Url_sv	W_Url_cs	W_Url_ro	W_Url_bg	W_Url_hu	W_Url_sk	W_Url_sl	W_Url_sh	W_Url_hr	G_Coordinates_northeast_Lat_1	G_Coordinates_northeast_Lng_1	G_Coordinates_southwest_Lat_2	G_Coordinates_southwest_Lng_2	G_Coordinates_location_Lat_3	G_Coordinates_location_Lng_3	G_PlaceId	How_Get_GooglePlaceID	G_Locality_long_name	G_Locality_short_name	G_Locality_types	G_AdminLevel_1_long_name	G_AdminLevel_1_short_name	G_AdminLevel_1_types	G_AdminLevel_2_long_name	G_AdminLevel_2_short_name	G_AdminLevel_2_types	G_Country_long_name	G_Country_short_name	G_Country_types	G_postal_code_long_name	G_postal_code_short_name	G_postal_code_types	G_FormatAddress	G_Types	W_Cordommees_Convert	G_Name_ru	G_Name_uk	G_Name_en
27618	Sébécourt	468	/wiki/Sébécourt	,Intercommunalité,Communauté de communes du  de Conches,	Normandie,	Eure,	Évreux,	Conches-en-Ouche,	Communauté de communes du Pays de Conches,	27190,	27618,	,468 hab. (2014),	32 hab./km2,	48° 58′ 20″ , 0° 50′ 18″ ,	Min. 130 m – Max. 178 m,	14,8 km2,		Себекур	Sébécourt	Sébécourt	Sébécourt	Sébécourt	Sébécourt	Sébécourt	Sébécourt			Sébécourt		Sébécourt		Sébécourt	Sébécourt					https://uk.wikipedia.org/wiki/Себекур	https://en.wikipedia.org/wiki/Sébécourt	https://de.wikipedia.org/wiki/Sébécourt	https://pl.wikipedia.org/wiki/Sébécourt	https://es.wikipedia.org/wiki/Sébécourt	https://pt.wikipedia.org/wiki/Sébécourt	https://it.wikipedia.org/wiki/Sébécourt	https://nl.wikipedia.org/wiki/Sébécourt			https://sv.wikipedia.org/wiki/Sébécourt		https://ro.wikipedia.org/wiki/Sébécourt		https://hu.wikipedia.org/wiki/Sébécourt	https://sk.wikipedia.org/wiki/Sébécourt				None	None	None	None	48.9718892	0.8379594	ChIJx_YA8Tty4UcRDgzjknI9gQI	SendCoordinates	Sébécourt	Sébécourt	locality,political	Normandie	Normandie	administrative_area_level_1,political	Eure	Eure	administrative_area_level_2,political	France	FR	country,political	27190	27190	postal_code	1 Rue de l'Église, 27190 Sébécourt, France	street_address	48.9722222222,0.838333333333	None	None	None
27617	Saussay-la-Campagne	510	/wiki/Saussay-la-Campagne	France,	Normandie,	Eure,	Andelys,	Gisors,	Communauté de communes du Vexin Normand,	27150,	27617,	,510 hab. (2014),	102 hab./km2,	49° 19′ 01″ , 1° 30′ 49″ ,	Min. 108 m – Max. 134 m,	5 km2,		Соссе-ла-Кампань	Saussay-la-Campagne		Saussay-la-Campagne	Saussay-la-Campagne	Saussay-la-Campagne	Saussay-la-Campagne	Saussay-la-Campagne			Saussay-la-Campagne		Saussay-la-Campagne		Saussay-la-Campagne	Saussay-la-Campagne					https://uk.wikipedia.org/wiki/Соссе-ла-Кампань	https://en.wikipedia.org/wiki/Saussay-la-Campagne		https://pl.wikipedia.org/wiki/Saussay-la-Campagne	https://es.wikipedia.org/wiki/Saussay-la-Campagne	https://pt.wikipedia.org/wiki/Saussay-la-Campagne	https://it.wikipedia.org/wiki/Saussay-la-Campagne	https://nl.wikipedia.org/wiki/Saussay-la-Campagne			https://sv.wikipedia.org/wiki/Saussay-la-Campagne		https://ro.wikipedia.org/wiki/Saussay-la-Campagne		https://hu.wikipedia.org/wiki/Saussay-la-Campagne	https://sk.wikipedia.org/wiki/Saussay-la-Campagne				49.330869	1.526444	49.3083889	1.4867	49.317242	1.51242	ChIJ__YpvWPW5kcRMgfU4VQV1As	None	Saussay-la-Campagne	Saussay-la-Campagne	locality,political	Normandie	Normandie	administrative_area_level_1,political	Eure	Eure	administrative_area_level_2,political	France	FR	country,political	27150	27150	postal_code	27150 Saussay-la-Campagne, France	locality,political	49.3169444444,1.51361111111	Сосе-ла-Кампань	Соссе-ла-Кампань	Saussay-la-Campagne
27616	La Saussaye	1 850	/wiki/La_Saussaye	France,	Normandie,	Eure,	Évreux,	Bourgtheroulde-Infreville,	Communauté de communes Roumois Seine,	27370,	27616,	,1 850 hab. (2014),	524 hab./km2,	49° 15′ 30″ , 0° 58′ 55″ ,	Min. 73 m – Max. 149 m,	3,53 km2,		Ла-Соссе	La Saussaye	La Saussaye	La Saussaye	La Saussaye	La Saussaye	La Saussaye	La Saussaye			La Saussaye		La Saussaye		La Saussaye	La Saussaye					https://uk.wikipedia.org/wiki/Ла-Соссе	https://en.wikipedia.org/wiki/La_Saussaye	https://de.wikipedia.org/wiki/La_Saussaye	https://pl.wikipedia.org/wiki/La_Saussaye	https://es.wikipedia.org/wiki/La_Saussaye	https://pt.wikipedia.org/wiki/La_Saussaye	https://it.wikipedia.org/wiki/La_Saussaye	https://nl.wikipedia.org/wiki/La_Saussaye			https://sv.wikipedia.org/wiki/La_Saussaye		https://ro.wikipedia.org/wiki/La_Saussaye		https://hu.wikipedia.org/wiki/La_Saussaye	https://sk.wikipedia.org/wiki/La_Saussaye				None	None	None	None	49.2584851	0.9820925	ChIJ98SQYGoZ4UcRcLUEzdDQDNA	SendCoordinates	La Saussaye	La Saussaye	locality,political	Normandie	Normandie	administrative_area_level_1,political	Eure	Eure	administrative_area_level_2,political	France	FR	country,political	27370	27370	postal_code	2 Place du Cloître, 27370 La Saussaye, France	street_address	49.2583333333,0.981944444444	None	None	None
27615	Sassey	181	/wiki/Sassey	France,	Normandie,	Eure,	d'Évreux,	Évreux-3,	Évreux Portes de Normandie,	27930,	27615,	,181 hab. (2014),	42 hab./km2,	49° 03′ 09″ , 1° 13′ 29″ ,	Min. 110 m – Max. 142 m,	4,28 km2,		Сассе (Ер)	Sassey		Sassey	Sassey	Sassey	Sassey	Sassey			Sassey		Sassey		Sassey	Sassey					https://uk.wikipedia.org/wiki/Сассе_	https://en.wikipedia.org/wiki/Sassey		https://pl.wikipedia.org/wiki/Sassey	https://es.wikipedia.org/wiki/Sassey	https://pt.wikipedia.org/wiki/Sassey	https://it.wikipedia.org/wiki/Sassey	https://nl.wikipedia.org/wiki/Sassey			https://sv.wikipedia.org/wiki/Sassey		https://ro.wikipedia.org/wiki/Sassey		https://hu.wikipedia.org/wiki/Sassey	https://sk.wikipedia.org/wiki/Sassey				49.058312	1.2467849	49.03902	1.194042	49.050948	1.222785	ChIJqWBdXPE34UcRl56uciUR9uY	None	Sassey	Sassey	locality,political	Normandie	Normandie	administrative_area_level_1,political	Eure	Eure	administrative_area_level_2,political	France	FR	country,political	27930	27930	postal_code	27930 Sassey, France	locality,political	49.0525,1.22472222222	Сассе	Сассе	Sassey
27614	Sancourt	159	/wiki/Sancourt_(Eure)	France,	Normandie,	Eure,	Les Andelys,	Gisors,	Communauté de communes du Vexin Normand,	27150,	27614,	,159 hab. (2014),	24 hab./km2,	49° 21′ 18″ , 1° 41′ 13″ ,	Min. 77 m – Max. 128 m,	6,63 km2,		Санкур (Ер)	Sancourt, Eure	Sancourt (Eure)	Sancourt (Eure)	Sancourt (Eure)	Sancourt	Sancourt (Eure)	Sancourt (Eure)			Sancourt, Eure		Sancourt, Eure		Sancourt (Eure)	Sancourt (Eure)					https://uk.wikipedia.org/wiki/Санкур_	https://en.wikipedia.org/wiki/Sancourt,_Eure	https://de.wikipedia.org/wiki/Sancourt_	https://pl.wikipedia.org/wiki/Sancourt_	https://es.wikipedia.org/wiki/Sancourt_	https://pt.wikipedia.org/wiki/Sancourt	https://it.wikipedia.org/wiki/Sancourt_	https://nl.wikipedia.org/wiki/Sancourt_			https://sv.wikipedia.org/wiki/Sancourt,_Eure		https://ro.wikipedia.org/wiki/Sancourt,_Eure		https://hu.wikipedia.org/wiki/Sancourt_	https://sk.wikipedia.org/wiki/Sancourt_				49.365345	1.70073	49.340953	1.648604	49.354843	1.685501	ChIJ56Er2qsg50cRYW03ijAc0Eg	None	Sancourt	Sancourt	locality,political	Normandie	Normandie	administrative_area_level_1,political	Eure	Eure	administrative_area_level_2,political	France	FR	country,political	27150	27150	postal_code	27150 Sancourt, France	locality,political	49.355,1.68694444444	Санкур	Санкур	Sancourt
27613	Saint-Vincent-du-Boulay	359	/wiki/Saint-Vincent-du-Boulay	,Intercommunalité,Communauté de communes Lieuvin  d'Auge,	Normandie,	Eure,	Bernay,	Beuzeville,	Communauté de communes Lieuvin Pays d'Auge,	27230,	27613,	,359 hab. (2014),	55 hab./km2,	49° 06′ 10″ , 0° 29′ 20″ ,	Min. 164 m – Max. 195 m,	6,56 km2,		Сен-Венсан-дю-Буле	Saint-Vincent-du-Boulay		Saint-Vincent-du-Boulay	Saint-Vincent-du-Boulay	Saint-Vincent-du-Boulay	Saint-Vincent-du-Boulay	Saint-Vincent-du-Boulay			Saint-Vincent-du-Boulay		Saint-Vincent-du-Boulay		Saint-Vincent-du-Boulay	Saint-Vincent-du-Boulay					https://uk.wikipedia.org/wiki/Сен-Венсан-дю-Буле	https://en.wikipedia.org/wiki/Saint-Vincent-du-Boulay		https://pl.wikipedia.org/wiki/Saint-Vincent-du-Boulay	https://es.wikipedia.org/wiki/Saint-Vincent-du-Boulay	https://pt.wikipedia.org/wiki/Saint-Vincent-du-Boulay	https://it.wikipedia.org/wiki/Saint-Vincent-du-Boulay	https://nl.wikipedia.org/wiki/Saint-Vincent-du-Boulay			https://sv.wikipedia.org/wiki/Saint-Vincent-du-Boulay		https://ro.wikipedia.org/wiki/Saint-Vincent-du-Boulay		https://hu.wikipedia.org/wiki/Saint-Vincent-du-Boulay	https://sk.wikipedia.org/wiki/Saint-Vincent-du-Boulay				None	None	None	None	49.1027865	0.4888463	ChIJJVYH8pK84UcResNC51Cmz34	SendCoordinates	Saint-Vincent-du-Boulay	Saint-Vincent-du-Boulay	locality,political	Normandie	Normandie	administrative_area_level_1,political	Eure	Eure	administrative_area_level_2,political	France	FR	country,political	27230	27230	postal_code	4 Rue de l'Église, 27230 Saint-Vincent-du-Boulay, France	street_address	49.1027777778,0.488888888889	None	None	None
27612	Saint-Vincent-des-Bois	349	/wiki/Saint-Vincent-des-Bois	France,	Normandie,	Eure,	Évreux,	Pacy-sur-Eure,	Seine Normandie Agglomération,	27950,	27612,	,349 hab. (2014),	66 hab./km2,	49° 04′ 20″ , 1° 23′ 59″ ,	Min. 113 m – Max. 146 m,	5,29 km2,		Сен-Венсан-де-Буа	Saint-Vincent-des-Bois		Saint-Vincent-des-Bois	Saint-Vincent-des-Bois	Saint-Vincent-des-Bois	Saint-Vincent-des-Bois	Saint-Vincent-des-Bois			Saint-Vincent-des-Bois		Saint-Vincent-des-Bois		Saint-Vincent-des-Bois	Saint-Vincent-des-Bois					https://uk.wikipedia.org/wiki/Сен-Венсан-де-Буа	https://en.wikipedia.org/wiki/Saint-Vincent-des-Bois		https://pl.wikipedia.org/wiki/Saint-Vincent-des-Bois	https://es.wikipedia.org/wiki/Saint-Vincent-des-Bois	https://pt.wikipedia.org/wiki/Saint-Vincent-des-Bois	https://it.wikipedia.org/wiki/Saint-Vincent-des-Bois	https://nl.wikipedia.org/wiki/Saint-Vincent-des-Bois			https://sv.wikipedia.org/wiki/Saint-Vincent-des-Bois		https://ro.wikipedia.org/wiki/Saint-Vincent-des-Bois		https://hu.wikipedia.org/wiki/Saint-Vincent-des-Bois	https://sk.wikipedia.org/wiki/Saint-Vincent-des-Bois				49.0779211	1.414454	49.04297	1.3764909	49.0718249	1.398888	ChIJ6RoAAzM14UcRcI-7T0gUDAQ	None	Saint-Vincent-des-Bois	Saint-Vincent-des-Bois	locality,political	Normandie	Normandie	administrative_area_level_1,political	Eure	Eure	administrative_area_level_2,political	France	FR	country,political	27950	27950	postal_code	27950 Saint-Vincent-des-Bois, France	locality,political	49.0722222222,1.39972222222	Сен-Венсан-Де-Буа	Сен-Венсан-де-Буа	Saint-Vincent-des-Bois
27611	Saint-Vigor	327	/wiki/Saint-Vigor	France,	Normandie,	Eure,	Évreux,	Évreux-2,	Évreux Portes de Normandie,	27930,	27611,	,327 hab. (2014),	50 hab./km2,	49° 04′ 35″ , 1° 15′ 56″ ,	Min. 27 m – Max. 144 m,	6,58 km2,		Сен-Вігор	Saint-Vigor		Saint-Vigor	Saint-Vigor	Saint-Vigor	Saint-Vigor	Saint-Vigor			Saint-Vigor		Saint-Vigor		Saint-Vigor	Saint-Vigor					https://uk.wikipedia.org/wiki/Сен-Вігор	https://en.wikipedia.org/wiki/Saint-Vigor		https://pl.wikipedia.org/wiki/Saint-Vigor	https://es.wikipedia.org/wiki/Saint-Vigor	https://pt.wikipedia.org/wiki/Saint-Vigor	https://it.wikipedia.org/wiki/Saint-Vigor	https://nl.wikipedia.org/wiki/Saint-Vigor			https://sv.wikipedia.org/wiki/Saint-Vigor		https://ro.wikipedia.org/wiki/Saint-Vigor		https://hu.wikipedia.org/wiki/Saint-Vigor	https://sk.wikipedia.org/wiki/Saint-Vigor				49.090111	1.2827879	49.062362	1.232461	49.087657	1.266788	ChIJI7xbDAc34UcRgI-7T0gUDAQ	None	Saint-Vigor	Saint-Vigor	locality,political	Normandie	Normandie	administrative_area_level_1,political	Eure	Eure	administrative_area_level_2,political	France	FR	country,political	27930	27930	postal_code	27930 Saint-Vigor, France	locality,political	49.0763888889,1.26555555556	Сен-Вигор	Сен-Вігор	Saint-Vigor
27610	Saint-Victor-sur-Avre	63	/wiki/Saint-Victor-sur-Avre	France,	Normandie,	Eure,	Évreux,	Verneuil-sur-Avre,	Communauté de communes Normandie Sud Eure,	27130,	27610,	,63 hab. (2014),	9,1 hab./km2,	48° 42′ 12″ , 0° 51′ 23″ ,	Min. 167 m – Max. 206 m,	6,9 km2,		Сен-Віктор-сюр-Авр	Saint-Victor-sur-Avre		Saint-Victor-sur-Avre	Saint-Victor-sur-Avre	Saint-Victor-sur-Avre	Saint-Victor-sur-Avre	Saint-Victor-sur-Avre			Saint-Victor-sur-Avre		Saint-Victor-sur-Avre		Saint-Victor-sur-Avre	Saint-Victor-sur-Avre					https://uk.wikipedia.org/wiki/Сен-Віктор-сюр-Авр	https://en.wikipedia.org/wiki/Saint-Victor-sur-Avre		https://pl.wikipedia.org/wiki/Saint-Victor-sur-Avre	https://es.wikipedia.org/wiki/Saint-Victor-sur-Avre	https://pt.wikipedia.org/wiki/Saint-Victor-sur-Avre	https://it.wikipedia.org/wiki/Saint-Victor-sur-Avre	https://nl.wikipedia.org/wiki/Saint-Victor-sur-Avre			https://sv.wikipedia.org/wiki/Saint-Victor-sur-Avre		https://ro.wikipedia.org/wiki/Saint-Victor-sur-Avre		https://hu.wikipedia.org/wiki/Saint-Victor-sur-Avre	https://sk.wikipedia.org/wiki/Saint-Victor-sur-Avre				48.717618	0.876837	48.6783729	0.8272429	48.701816	0.854875	ChIJmUzGffPX40cRkI-7T0gUDAQ	None	Saint-Victor-sur-Avre	Saint-Victor-sur-Avre	locality,political	Normandie	Normandie	administrative_area_level_1,political	Eure	Eure	administrative_area_level_2,political	France	FR	country,political				Saint-Victor-sur-Avre, France	locality,political	48.7033333333,0.856388888889	Сен-Виктор-Сюр-Авр	Сен-Віктор-сюр-Авр	Saint-Victor-sur-Avre
50419	Quettreville-sur-Sienne	1 820	/wiki/Quettreville-sur-Sienne	France,	Normandie,	Manche,	Coutances,	Quettreville-sur-Sienne,	Communauté de communes de Montmartin-sur-Mer,	50660,	50419,	,1 820 hab. (2014),	93 hab./km2,	48° 58′ 11″ , 1° 28′ 05″ ou,	Min. 7 m – Max. 68 m,	19,53 km2,						Quettreville-sur-Sienne																				https://es.wikipedia.org/wiki/Quettreville-sur-Sienne															48.9893439	-1.4293531	48.9297181	-1.502761	48.975896	-1.473566	ChIJoXuRx-ULDEgRkG25T0gUDAQ	None	Quettreville-sur-Sienne	Quettreville-sur-Sienne	locality,political	Normandie	Normandie	administrative_area_level_1,political	Manche	Manche	administrative_area_level_2,political	France	FR	country,political	50660	50660	postal_code	50660 Quettreville-sur-Sienne, France	locality,political	48.9697222222,-1.46805555556	Кетрвиль-Сюр-Сьен	Кеттревіль-сюр-Сьєнн	Quettreville-sur-Sienne
