InseeXls_CodeCommune	InseeXls_NameCommune	InseeXls_Population	Wiki_UrlInCommune	W_Pays	W_Region	W_Departement	W_Arrondissement	W_Canton	W_Intercommunalite	W_CodePostal	W_CodeCommune	W_Population	W_Densite	W_Cordommees	W_Altitude	W_Superficie	W_Name_ru	W_Name_uk	W_Name_en	W_Name_de	W_Name_pl	W_Name_es	W_Name_pt	W_Name_it	W_Name_nl	W_Name_da	W_Name_no	W_Name_sv	W_Name_cs	W_Name_ro	W_Name_bg	W_Name_hu	W_Name_sk	W_Name_sl	W_Name_sh	W_Name_hr	W_Url_ru	W_Url_uk	W_Url_en	W_Url_de	W_Url_pl	W_Url_es	W_Url_pt	W_Url_it	W_Url_nl	W_Url_da	W_Url_no	W_Url_sv	W_Url_cs	W_Url_ro	W_Url_bg	W_Url_hu	W_Url_sk	W_Url_sl	W_Url_sh	W_Url_hr	G_Coordinates_northeast_Lat_1	G_Coordinates_northeast_Lng_1	G_Coordinates_southwest_Lat_2	G_Coordinates_southwest_Lng_2	G_Coordinates_location_Lat_3	G_Coordinates_location_Lng_3	G_PlaceId	How_Get_GooglePlaceID	G_Locality_long_name	G_Locality_short_name	G_Locality_types	G_AdminLevel_1_long_name	G_AdminLevel_1_short_name	G_AdminLevel_1_types	G_AdminLevel_2_long_name	G_AdminLevel_2_short_name	G_AdminLevel_2_types	G_Country_long_name	G_Country_short_name	G_Country_types	G_postal_code_long_name	G_postal_code_short_name	G_postal_code_types	G_FormatAddress	G_Types	W_Cordommees_Convert	G_Name_ru	G_Name_uk	G_Name_en	F_Compare_InseeXls_CodeCommune_W_CodeCommune	F_Compare_InseeXls_NameCommune_Wiki_Url	F_Compare_InseeXls_NameCommune_G_Locality_long_name	Wiki_UrlInCommuneSnipet	Wiki_NameSnipet	Wiki_Old_UrlInCommune	Wiki_Old_NameSnipet	ColResultInSnipet
91137	Champmotteux	379	/wiki/Champmotteux	France	Île-de-France	Essonne	Étampes	Étampes	Communauté de communes de l'Étampois Sud-Essonne	91150	91137	379 hab. (2014)	50 hab./km2	48° 20′ 32″ , 2° 19′ 16″ 	Min. 102 m – Max. 147 m	7,57 km2		Шаммотте	Champmotteux	Champmotteux	Champmotteux	Champmotteux		Champmotteux	Champmotteux			Champmotteux	Champmotteux			Champmotteux	Champmotteux		Champmotteux			https://uk.wikipedia.org/wiki/Шаммотте	https://en.wikipedia.org/wiki/Champmotteux	https://de.wikipedia.org/wiki/Champmotteux	https://pl.wikipedia.org/wiki/Champmotteux	https://es.wikipedia.org/wiki/Champmotteux		https://it.wikipedia.org/wiki/Champmotteux	https://nl.wikipedia.org/wiki/Champmotteux			https://sv.wikipedia.org/wiki/Champmotteux	https://cs.wikipedia.org/wiki/Champmotteux			https://hu.wikipedia.org/wiki/Champmotteux	https://sk.wikipedia.org/wiki/Champmotteux		https://sh.wikipedia.org/wiki/Champmotteux		48.356573	2.348293	48.329689	2.2838211	48.342977	2.321098	ChIJWerU-NC45UcRUEiLaMOCCwQ	None	Champmotteux	Champmotteux	locality,political	Île-de-France	Île-de-France	administrative_area_level_1,political	Essonne	Essonne	administrative_area_level_2,political	France	FR	country,political	91150	91150	postal_code	91150 Champmotteux, France	locality,political	48.3422222222,2.32111111111	None	None	None	True	True	True	/wiki/Champmotteux	Champmotteux	None	None	1
91130	Chalo-Saint-Mars	1 172	/wiki/Chalo-Saint-Mars	France	Île-de-France	Essonne	Étampes	Étampes	Communauté de communes de l'Étampois Sud-Essonne	91780	91130	1 172 hab. (2014)	41 hab./km2	48° 25′ 36″ , 2° 04′ 01″ 	Min. 81 m – Max. 152 m	28,67 km2		Шало-Сен-Марс	Chalo-Saint-Mars	Chalo-Saint-Mars	Chalo-Saint-Mars	Chalo-Saint-Mars		Chalo-Saint-Mars	Chalo-Saint-Mars			Chalo-Saint-Mars	Chalo-Saint-Mars			Chalo-Saint-Mars	Chalo-Saint-Mars		Chalo-Saint-Mars			https://uk.wikipedia.org/wiki/Шало-Сен-Марс	https://en.wikipedia.org/wiki/Chalo-Saint-Mars	https://de.wikipedia.org/wiki/Chalo-Saint-Mars	https://pl.wikipedia.org/wiki/Chalo-Saint-Mars	https://es.wikipedia.org/wiki/Chalo-Saint-Mars		https://it.wikipedia.org/wiki/Chalo-Saint-Mars	https://nl.wikipedia.org/wiki/Chalo-Saint-Mars			https://sv.wikipedia.org/wiki/Chalo-Saint-Mars	https://cs.wikipedia.org/wiki/Chalo-Saint-Mars			https://hu.wikipedia.org/wiki/Chalo-Saint-Mars	https://sk.wikipedia.org/wiki/Chalo-Saint-Mars		https://sh.wikipedia.org/wiki/Chalo-Saint-Mars		48.4477259	2.111132	48.383649	2.0016409	48.426587	2.067146	ChIJv80czCg15EcRoEiLaMOCCwQ	None	Chalo-Saint-Mars	Chalo-Saint-Mars	locality,political	Île-de-France	Île-de-France	administrative_area_level_1,political	Essonne	Essonne	administrative_area_level_2,political	France	FR	country,political	91780	91780	postal_code	91780 Chalo-Saint-Mars, France	locality,political	48.4266666667,2.06694444444	None	None	None	True	True	True	/wiki/Chalo-Saint-Mars	Chalo-Saint-Mars	None	None	1
91075	Bois-Herpin	76	/wiki/Bois-Herpin	France	Île-de-France	Essonne	Étampes	Étampes	Communauté d'agglomération de l'Étampois Sud-Essonne	91150	91075	76 hab. (2014)	20 hab./km2	48° 22′ 08″ , 2° 13′ 55″ 	Min. 94 m – Max. 142 m	3,89 km2		Буа-Ерпен	Bois-Herpin	Bois-Herpin	Bois-Herpin	Bois-Herpin		Bois-Herpin	Bois-Herpin			Bois-Herpin	Bois-Herpin			Bois-Herpin	Bois-Herpin		Bois-Herpin			https://uk.wikipedia.org/wiki/Буа-Ерпен	https://en.wikipedia.org/wiki/Bois-Herpin	https://de.wikipedia.org/wiki/Bois-Herpin	https://pl.wikipedia.org/wiki/Bois-Herpin	https://es.wikipedia.org/wiki/Bois-Herpin		https://it.wikipedia.org/wiki/Bois-Herpin	https://nl.wikipedia.org/wiki/Bois-Herpin			https://sv.wikipedia.org/wiki/Bois-Herpin	https://cs.wikipedia.org/wiki/Bois-Herpin			https://hu.wikipedia.org/wiki/Bois-Herpin	https://sk.wikipedia.org/wiki/Bois-Herpin		https://sh.wikipedia.org/wiki/Bois-Herpin		48.389148	2.258612	48.3608019	2.2199431	48.369762	2.234933	ChIJ3co7N_i35UcREewu7VkYohU	None	Bois-Herpin	Bois-Herpin	locality,political	Île-de-France	Île-de-France	administrative_area_level_1,political	Essonne	Essonne	administrative_area_level_2,political	France	FR	country,political	91150	91150	postal_code	91150 Bois-Herpin, France	locality,political	48.3688888889,2.23194444444	None	None	None	True	True	True	/wiki/Bois-Herpin	Bois-Herpin	None	None	1
91216	Épinay-sur-Orge	10 766	/wiki/Épinay-sur-Orge	France	Île-de-France	Essonne	Palaiseau	Longjumeau	Communauté d'agglomération Communauté Paris-Saclay	91360	91216	10 766 hab. (2014)	2 425 hab./km2	48° 40′ 21″ , 2° 19′ 26″ 	Min. 36 m – Max. 89 m	4,44 km2		Епіне-сюр-Орж	Épinay-sur-Orge	Épinay-sur-Orge	Épinay-sur-Orge	Épinay-sur-Orge	Épinay-sur-Orge	Épinay-sur-Orge	Épinay-sur-Orge			Épinay-sur-Orge	Épinay-sur-Orge			Épinay-sur-Orge	Épinay-sur-Orge		Epinay-sur-Orge			https://uk.wikipedia.org/wiki/Епіне-сюр-Орж	https://en.wikipedia.org/wiki/Épinay-sur-Orge	https://de.wikipedia.org/wiki/Épinay-sur-Orge	https://pl.wikipedia.org/wiki/Épinay-sur-Orge	https://es.wikipedia.org/wiki/Épinay-sur-Orge	https://pt.wikipedia.org/wiki/Épinay-sur-Orge	https://it.wikipedia.org/wiki/Épinay-sur-Orge	https://nl.wikipedia.org/wiki/Épinay-sur-Orge			https://sv.wikipedia.org/wiki/Épinay-sur-Orge	https://cs.wikipedia.org/wiki/Épinay-sur-Orge			https://hu.wikipedia.org/wiki/Épinay-sur-Orge	https://sk.wikipedia.org/wiki/Épinay-sur-Orge		https://sh.wikipedia.org/wiki/Epinay-sur-Orge		48.686724	2.339181	48.657122	2.2996351	48.672714	2.323859	ChIJTUP06u3Y5UcRAEeLaMOCCwQ	None	Épinay-sur-Orge	Épinay-sur-Orge	locality,political	Île-de-France	Île-de-France	administrative_area_level_1,political	Essonne	Essonne	administrative_area_level_2,political	France	FR	country,political	91360	91360	postal_code	91360 Épinay-sur-Orge, France	locality,political	48.6725,2.32388888889	Эпине-Сюр-Орж	Епіне-сюр-Орж	Épinay-sur-Orge	True	True	True	/wiki/Épinay-sur-Orge	Épinay-sur-Orge	None	None	1
91215	Épinay-sous-Sénart	12 526	/wiki/Épinay-sous-Sénart	France	Île-de-France	Essonne	Évry	Épinay-sous-Sénart	Communauté d'agglomération Val d'Yerres Val de Seine	91860	91215	12 526 hab. (2014)	3 499 hab./km2	48° 41′ 41″ , 2° 30′ 53″ 	Min. 37 m – Max. 87 m	3,58 km2		Епіне-су-Сенар	Épinay-sous-Sénart	Épinay-sous-Sénart	Épinay-sous-Sénart	Épinay-sous-Sénart		Épinay-sous-Sénart	Épinay-sous-Sénart			Épinay-sous-Sénart	Épinay-sous-Sénart			Épinay-sous-Sénart	Épinay-sous-Sénart					https://uk.wikipedia.org/wiki/Епіне-су-Сенар	https://en.wikipedia.org/wiki/Épinay-sous-Sénart	https://de.wikipedia.org/wiki/Épinay-sous-Sénart	https://pl.wikipedia.org/wiki/Épinay-sous-Sénart	https://es.wikipedia.org/wiki/Épinay-sous-Sénart		https://it.wikipedia.org/wiki/Épinay-sous-Sénart	https://nl.wikipedia.org/wiki/Épinay-sous-Sénart			https://sv.wikipedia.org/wiki/Épinay-sous-Sénart	https://cs.wikipedia.org/wiki/Épinay-sous-Sénart			https://hu.wikipedia.org/wiki/Épinay-sous-Sénart	https://sk.wikipedia.org/wiki/Épinay-sous-Sénart				48.705196	2.5321616	48.6720407	2.4984163	48.6893061	2.5126535	ChIJhVnLYuHh5UcREHfY4caCCxw	None	Épinay-sous-Sénart	Épinay-sous-Sénart	locality,political	Île-de-France	Île-de-France	administrative_area_level_1,political	Essonne	Essonne	administrative_area_level_2,political	France	FR	country,political	91860	91860	postal_code	91860 Épinay-sous-Sénart, France	postal_code	48.6947222222,2.51472222222	None	None	None	True	True	True	/wiki/Épinay-sous-Sénart	Épinay-sous-Sénart	None	None	1
95183	Courdimanche	6 637	/wiki/Courdimanche	France	Île-de-France	Val-d'Oise	Pontoise	Vauréal	Communauté d'agglomération de Cergy-Pontoise	95800	95183	6 637 hab. (2014)	1 198 hab./km2	49° 02′ 00″ , 2° 00′ 00″ 	150 m (min. : 95 m) (max. : 160 m)	5,54 km2	Курдиманш (Валь-д’Уаз)	Курдіманш	Courdimanche	Courdimanche	Courdimanche	Courdimanche		Courdimanche	Courdimanche			Courdimanche				Courdimanche	Courdimanche		Courdimanche		https://ru.wikipedia.org/wiki/Курдиманш_(Валь-д’Уаз)	https://uk.wikipedia.org/wiki/Курдіманш	https://en.wikipedia.org/wiki/Courdimanche	https://de.wikipedia.org/wiki/Courdimanche	https://pl.wikipedia.org/wiki/Courdimanche	https://es.wikipedia.org/wiki/Courdimanche		https://it.wikipedia.org/wiki/Courdimanche	https://nl.wikipedia.org/wiki/Courdimanche			https://sv.wikipedia.org/wiki/Courdimanche				https://hu.wikipedia.org/wiki/Courdimanche	https://sk.wikipedia.org/wiki/Courdimanche		https://sh.wikipedia.org/wiki/Courdimanche		49.06059	2.016019	49.023626	1.983692	49.034807	2.001199	ChIJ47Gee0Dz5kcR0DOLaMOCCwQ	None	Courdimanche	Courdimanche	locality,political	Île-de-France	Île-de-France	administrative_area_level_1,political	Val-d'Oise	Val-d'Oise	administrative_area_level_2,political	France	FR	country,political	95800	95800	postal_code	95800 Courdimanche, France	locality,political	49.0333333333,2.0	Курдиманш	Курдіманш	Courdimanche	True	True	True	/wiki/Courdimanche	Courdimanche	None	None	1
95181	Courcelles-sur-Viosne	291	/wiki/Courcelles-sur-Viosne	France	Île-de-France	Val-d'Oise	Pontoise	Pontoise	Communauté de communes des Trois Vallées du Vexin	95650	95181	291 hab. (2014)	81 hab./km2	49° 05′ 00″ , 2° 00′ 00″ 	50 m (min. : 42 m) (max. : 108 m)	3,61 km2	Курсель-сюр-Вьон	Курсель-сюр-Вйон	Courcelles-sur-Viosne	Courcelles-sur-Viosne	Courcelles-sur-Viosne	Courcelles-sur-Viosne		Courcelles-sur-Viosne	Courcelles-sur-Viosne			Courcelles-sur-Viosne				Courcelles-sur-Viosne	Courcelles-sur-Viosne		Courcelles-sur-Viosne		https://ru.wikipedia.org/wiki/Курсель-сюр-Вьон	https://uk.wikipedia.org/wiki/Курсель-сюр-Вйон	https://en.wikipedia.org/wiki/Courcelles-sur-Viosne	https://de.wikipedia.org/wiki/Courcelles-sur-Viosne	https://pl.wikipedia.org/wiki/Courcelles-sur-Viosne	https://es.wikipedia.org/wiki/Courcelles-sur-Viosne		https://it.wikipedia.org/wiki/Courcelles-sur-Viosne	https://nl.wikipedia.org/wiki/Courcelles-sur-Viosne			https://sv.wikipedia.org/wiki/Courcelles-sur-Viosne				https://hu.wikipedia.org/wiki/Courcelles-sur-Viosne	https://sk.wikipedia.org/wiki/Courcelles-sur-Viosne		https://sh.wikipedia.org/wiki/Courcelles-sur-Viosne		49.083931	2.015248	49.063631	1.9752129	49.0775379	2.0046149	ChIJIRFDeZfz5kcRJnpR-00LG4Y	None	Courcelles-sur-Viosne	Courcelles-sur-Viosne	locality,political	Île-de-France	Île-de-France	administrative_area_level_1,political	Val-d'Oise	Val-d'Oise	administrative_area_level_2,political	France	FR	country,political	95650	95650	postal_code	95650 Courcelles-sur-Viosne, France	locality,political	49.0833333333,2.0	Курсель-сюр-Вьон	Курсель-сюр-Вйон	Courcelles-sur-Viosne	True	True	True	/wiki/Courcelles-sur-Viosne	Courcelles-sur-Viosne	None	None	1
91347	Longpont-sur-Orge	6 503	/wiki/Longpont-sur-Orge	France	Île-de-France	Essonne	Palaiseau	Brétigny-sur-Orge	Communauté d'agglomération Cœur d'Essonne Agglomération	91310	91347	6 503 hab. (2014)	1 288 hab./km2	48° 38′ 33″ , 2° 17′ 34″ 	Min. 37 m – Max. 96 m	5,05 km2		Лонпон-сюр-Орж	Longpont-sur-Orge	Longpont-sur-Orge	Longpont-sur-Orge	Longpont-sur-Orge		Longpont-sur-Orge	Longpont-sur-Orge			Longpont-sur-Orge	Longpont-sur-Orge			Longpont-sur-Orge	Longpont-sur-Orge					https://uk.wikipedia.org/wiki/Лонпон-сюр-Орж	https://en.wikipedia.org/wiki/Longpont-sur-Orge	https://de.wikipedia.org/wiki/Longpont-sur-Orge	https://pl.wikipedia.org/wiki/Longpont-sur-Orge	https://es.wikipedia.org/wiki/Longpont-sur-Orge		https://it.wikipedia.org/wiki/Longpont-sur-Orge	https://nl.wikipedia.org/wiki/Longpont-sur-Orge			https://sv.wikipedia.org/wiki/Longpont-sur-Orge	https://cs.wikipedia.org/wiki/Longpont-sur-Orge			https://hu.wikipedia.org/wiki/Longpont-sur-Orge	https://sk.wikipedia.org/wiki/Longpont-sur-Orge				48.6604169	2.2991121	48.617626	2.272687	48.639013	2.285823	ChIJKTDNyqTZ5UcRFrsl0XtINso	None	Longpont-sur-Orge	Longpont-sur-Orge	locality,political	Île-de-France	Île-de-France	administrative_area_level_1,political	Essonne	Essonne	administrative_area_level_2,political	France	FR	country,political	91310	91310	postal_code	91310 Longpont-sur-Orge, France	locality,political	48.6425,2.29277777778	Лонпон-Сюр-Орж	Лонпон-сюр-Орж	Longpont-sur-Orge	True	True	True	/wiki/Longpont-sur-Orge	Longpont-sur-Orge	None	None	1
91340	Lisses	7 650	/wiki/Lisses	France	Île-de-France	Essonne	Évry	Corbeil-Essonnes	Communauté d'agglomération Grand Paris Sud Seine Essonne Sénart	91090	91340	7 650 hab. (2014)	736 hab./km2	48° 35′ 53″ , 2° 25′ 28″ 	Min. 38 m – Max. 89 m	10,4 km2	Лисс (коммуна)	Лісс	Lisses	Lisses	Lisses	Lisses		Lisses	Lisses			Lisses	Lisses			Lisses	Lisses				https://ru.wikipedia.org/wiki/Лисс_(коммуна)	https://uk.wikipedia.org/wiki/Лісс	https://en.wikipedia.org/wiki/Lisses	https://de.wikipedia.org/wiki/Lisses	https://pl.wikipedia.org/wiki/Lisses	https://es.wikipedia.org/wiki/Lisses		https://it.wikipedia.org/wiki/Lisses	https://nl.wikipedia.org/wiki/Lisses			https://sv.wikipedia.org/wiki/Lisses	https://cs.wikipedia.org/wiki/Lisses			https://hu.wikipedia.org/wiki/Lisses	https://sk.wikipedia.org/wiki/Lisses				48.6138993	2.458118	48.5731629	2.3945145	48.5983017	2.4291949	ChIJD76EK_Pd5UcRMHnY4caCCxw	None	Lisses	Lisses	locality,political	Île-de-France	Île-de-France	administrative_area_level_1,political	Essonne	Essonne	administrative_area_level_2,political	France	FR	country,political	91090	91090	postal_code	91090 Lisses, France	postal_code	48.5980555556,2.42444444444	None	None	None	True	True	True	/wiki/Lisses	Lisses	None	None	1
91458	Nozay	4 800	/wiki/Nozay_(Essonne)	France	Île-de-France	Essonne	Palaiseau	LesUlis	Communauté d'agglomération Communauté Paris-Saclay	91620	91458	4 800 hab. (2014)	654 hab./km2	48° 39′ 36″ , 2° 14′ 33″ 	Min. 95 m – Max. 168 m	7,34 km2		Нозе (Ессонн)	Nozay, Essonne	Nozay (Essonne)	Nozay (Essonne)	Nozay (Essonne)	Nozay (Essonne)	Nozay (Essonne)	Nozay (Essonne)			Nozay, Essonne	Nozay (Essonne)			Nozay (Essonne)	Nozay (Essonne)					https://uk.wikipedia.org/wiki/Нозе_(Ессонн)	https://en.wikipedia.org/wiki/Nozay,_Essonne	https://de.wikipedia.org/wiki/Nozay_(Essonne)	https://pl.wikipedia.org/wiki/Nozay_(Essonne)	https://es.wikipedia.org/wiki/Nozay_(Essonne)	https://pt.wikipedia.org/wiki/Nozay_(Essonne)	https://it.wikipedia.org/wiki/Nozay_(Essonne)	https://nl.wikipedia.org/wiki/Nozay_(Essonne)			https://sv.wikipedia.org/wiki/Nozay,_Essonne	https://cs.wikipedia.org/wiki/Nozay_(Essonne)			https://hu.wikipedia.org/wiki/Nozay_(Essonne)	https://sk.wikipedia.org/wiki/Nozay_(Essonne)				48.6741399	2.2647009	48.6447359	2.208514	48.660155	2.242762	ChIJWbd-H5_X5UcR53v2qCbUp5g	None	Nozay	Nozay	locality,political	Île-de-France	Île-de-France	administrative_area_level_1,political	Essonne	Essonne	administrative_area_level_2,political	France	FR	country,political	91620	91620	postal_code	91620 Nozay, France	locality,political	48.66,2.2425	Нозе	Нозе	Nozay	True	True	True	/wiki/Nozay_(Essonne)	Nozay	None	None	1
